id,gender,age,major,gpa,SoloFounder,UniversityInCity,HasMentor,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,StartedBusiness
4841,Female,23,Communications,2.59,No,No,No,5,2,5,5,3,2,3,Yes
4842,Male,23,History,3.09,No,No,Yes,5,5,2,1,4,1,1,No
4843,Male,23,Business,3.56,No,Yes,Yes,4,1,2,5,2,1,5,No
4844,Male,21,Business,2.67,Yes,Yes,Yes,3,4,1,1,2,1,4,No
4845,Male,23,Business,2.94,Yes,Yes,Yes,5,5,1,1,4,1,3,No
4846,Male,18,Life Sciences,2.48,No,Yes,,2,3,3,1,3,3,3,No
4847,Female,17,History,2.71,No,Yes,Yes,4,4,5,2,4,3,1,No
4848,Genderfluid,21,Information Systems,3.34,No,No,Yes,4,2,3,4,1,1,3,No
4849,Male,20,Arts,3.15,Yes,Yes,Yes,5,4,2,5,3,4,3,No
4850,Female,17,Communications,2.14,No,Yes,Yes,2,5,5,4,4,3,5,No
4851,Female,19,Life Sciences,2.99,Yes,No,Yes,5,5,2,1,1,4,3,Yes
4852,Female,18,Business,3.5,No,Yes,Yes,4,5,2,5,5,5,2,No
4853,Male,21,Social Sciences,3.43,No,Yes,No,2,2,3,3,3,3,2,No
4854,Female,17,Communications,2.57,No,Yes,Yes,5,4,4,5,5,2,4,No
4855,Male,18,Information Systems,1.86,No,Yes,Yes,4,5,1,2,2,5,3,No
4856,Male,23,Engineering,3.95,No,No,Yes,5,5,2,1,5,1,2,Yes
4857,Female,20,Social Sciences,3.29,No,Yes,,3,3,2,4,5,3,4,Yes
4858,Male,22,Language,2.05,No,Yes,No,4,2,4,1,4,5,5,No
4859,Bigender,21,Information Systems,3.02,No,Yes,Yes,4,4,1,2,4,2,5,No
4860,Male,17,Social Sciences,2.43,No,Yes,Yes,5,1,5,5,4,1,4,No
4861,Male,23,Engineering,3.38,No,Yes,Yes,1,3,4,4,1,3,4,No
4862,Male,19,Social Sciences,3.78,No,Yes,Yes,1,5,2,5,5,4,1,No
4863,Female,21,Language,2.16,No,Yes,Yes,3,1,4,5,4,4,5,No
4864,Male,18,Social Sciences,1.96,No,No,No,2,2,2,3,5,3,2,No
4865,Female,22,Social Sciences,3,No,Yes,No,4,3,2,4,1,1,4,Yes
4866,Non-binary,19,Engineering,3.78,Yes,No,No,3,3,2,5,5,3,1,No
4867,Male,17,Social Sciences,3.46,No,No,No,4,5,2,4,1,1,5,No
4868,Female,22,Communications,3.65,No,No,Yes,4,2,1,1,2,1,5,No
4869,Male,18,Business,3.52,Yes,Yes,Yes,4,5,3,5,1,5,1,No
4870,Female,23,Life Sciences,3.3,No,Yes,No,4,5,1,4,4,5,1,No
4871,Genderfluid,21,Social Sciences,2.95,Yes,No,Yes,4,3,1,3,5,3,3,No
4872,Female,21,Life Sciences,2.9,Yes,Yes,No,4,2,2,1,5,2,5,Yes
4873,Male,22,Engineering,2.87,No,Yes,Yes,4,1,1,4,4,3,4,No
4874,Male,17,Business,2.55,No,Yes,Yes,5,5,3,5,3,4,4,Yes
4875,Female,21,Business,3.9,No,,Yes,,,,,,,,
4876,Male,22,Business,3.18,Yes,No,Yes,4,4,5,2,3,1,1,No
4877,Polygender,17,Information Systems,3.42,No,No,Yes,4,5,3,1,3,4,3,No
4878,Female,17,Communications,3.97,No,Yes,Yes,5,2,3,4,4,2,3,Yes
4879,Female,22,Social Sciences,2,No,Yes,Yes,5,4,5,1,2,4,4,Yes
4880,Male,18,Arts,2.94,No,No,Yes,5,4,3,1,2,1,1,Yes
4881,Male,17,Social Sciences,2.28,No,Yes,,3,2,4,3,4,1,4,No
4882,Female,21,Business,2.7,No,,Yes,,,,,,,,
4883,Female,20,Life Sciences,3.51,No,Yes,Yes,5,3,5,4,1,3,4,No
4884,Male,18,History,3.44,No,Yes,Yes,1,2,2,1,5,4,4,No
4885,Male,18,Information Systems,2.48,No,Yes,Yes,1,3,1,5,4,3,1,No
4886,Female,20,Business,3.56,Yes,No,Yes,5,1,4,2,5,1,5,No
4887,Female,22,Arts,3.16,No,No,No,4,3,2,1,3,4,1,No
4888,Female,23,Information Systems,1.95,No,Yes,Yes,4,5,3,2,2,1,5,Yes
4889,Female,20,Social Sciences,2.69,No,Yes,Yes,5,5,5,2,2,4,5,No
4890,Female,21,Social Sciences,3.47,No,Yes,Yes,4,4,2,4,5,4,1,Yes
4891,Male,18,Business,2.81,No,No,No,4,3,5,1,1,4,5,Yes
4892,Female,22,Language,3.12,Yes,Yes,Yes,3,1,3,1,3,4,3,No
4893,Male,21,Social Sciences,1.92,No,Yes,Yes,5,5,3,3,1,5,3,No
4894,Male,20,Social Sciences,3.37,Yes,Yes,Yes,1,1,1,3,4,2,1,No
4895,Male,21,Arts,2.15,No,Yes,Yes,3,2,5,2,4,1,4,No
4896,Genderfluid,18,Life Sciences,3.25,No,Yes,Yes,5,3,1,1,1,2,5,Yes
4897,Male,22,Life Sciences,2.91,Yes,No,Yes,5,5,4,5,5,3,5,No
4898,Female,17,Information Systems,2.58,No,No,Yes,4,5,2,4,3,3,1,No
4899,Genderqueer,19,Information Systems,3.14,No,No,No,5,2,2,4,3,5,1,No
4900,Female,22,Arts,3.15,No,Yes,Yes,5,4,5,2,4,1,2,No
4901,Male,17,Life Sciences,2.88,No,No,No,5,4,3,1,1,5,3,No
4902,Female,17,Life Sciences,3.04,,No,No,4,5,1,3,2,4,3,No
4903,Male,20,Life Sciences,1.92,Yes,No,Yes,2,3,4,2,5,2,4,Yes
4904,Male,21,Business,3.42,No,Yes,No,5,5,4,1,5,1,1,No
4905,Female,18,Life Sciences,2.12,,Yes,Yes,1,1,4,1,4,4,1,Yes
4906,Female,22,Arts,3.38,No,Yes,,5,3,1,2,4,1,3,Yes
4907,Male,20,Social Sciences,2.28,,No,Yes,1,1,2,1,2,5,1,No
4908,Male,18,Arts,3.15,No,Yes,Yes,4,4,1,3,5,1,1,No
4909,Female,17,Engineering,2.57,No,Yes,Yes,5,1,1,2,3,2,2,No
4910,Female,17,Engineering,3.67,,Yes,Yes,4,1,2,3,1,2,4,No
4911,Male,18,Business,3.09,No,Yes,Yes,3,5,2,2,1,2,2,Yes
4912,Male,19,Arts,3.64,Yes,Yes,No,4,3,5,3,2,3,4,No
4913,Male,19,Social Sciences,2.54,No,No,No,2,2,4,1,4,3,2,No
4914,Female,21,Communications,1.85,No,No,Yes,2,5,5,3,2,2,1,No
4915,Male,22,Arts,2.05,No,No,Yes,4,3,1,5,4,2,3,No
4916,Non-binary,19,History,3.45,No,Yes,Yes,3,1,3,2,1,4,1,No
4917,Female,20,Life Sciences,3.85,No,No,Yes,4,2,1,2,2,1,3,Yes
4918,Female,17,Communications,1.95,No,No,No,5,5,5,1,2,5,5,No
4919,Male,21,Social Sciences,2.22,No,No,Yes,2,1,1,3,5,4,4,No
4920,Non-binary,20,Business,2.18,No,Yes,Yes,3,4,3,1,5,4,1,No
4921,Genderfluid,18,Language,2,Yes,Yes,Yes,5,5,4,5,1,4,1,No
4922,Male,17,History,3.84,No,Yes,No,1,1,5,4,1,1,1,No
4923,Male,18,Business,3.3,No,Yes,,5,4,2,2,1,2,3,No
4924,Female,19,Life Sciences,3.3,No,No,Yes,1,3,5,5,2,4,5,Yes
4925,Male,22,Language,1.83,No,No,Yes,5,3,2,3,1,4,3,No
4926,Female,19,Arts,3,Yes,Yes,Yes,5,1,5,4,2,4,2,Yes
4927,Male,20,Communications,2.2,No,No,No,2,5,2,4,2,1,3,Yes
4928,Female,21,Social Sciences,2.83,No,Yes,Yes,5,2,2,5,5,5,4,Yes
4929,Male,22,Social Sciences,2.97,No,Yes,No,3,1,4,2,5,3,2,No
4930,Male,23,Business,2.4,No,Yes,Yes,4,5,5,3,2,3,4,Yes
4931,Male,20,Social Sciences,2.97,No,Yes,,4,4,4,2,1,4,4,No
4932,Female,18,Business,2.3,No,No,Yes,2,3,2,4,3,2,5,No
4933,Female,23,Social Sciences,2.03,No,No,,4,1,3,2,1,1,2,Yes
4934,Female,20,Business,3.29,No,Yes,Yes,5,2,5,4,5,4,1,No
4935,Female,18,Social Sciences,3.2,No,Yes,No,5,4,1,3,2,1,3,No
4936,Female,21,Social Sciences,3.66,Yes,No,No,2,4,3,2,4,1,2,No
4937,Female,19,Social Sciences,3.74,No,Yes,Yes,3,5,3,2,4,1,3,No
4938,Male,17,Arts,3.34,No,Yes,Yes,1,2,3,2,4,4,5,No
4939,Agender,21,Social Sciences,3.35,,Yes,Yes,5,1,2,2,3,2,2,No
4940,Male,18,Life Sciences,2.27,No,Yes,No,3,5,5,1,3,5,4,No
4941,Male,20,Language,3.1,No,Yes,No,4,4,4,2,2,2,3,No
4942,Female,18,Language,2.43,Yes,No,Yes,4,3,4,5,4,1,2,Yes
4943,Genderqueer,23,Business,3.56,No,Yes,Yes,3,5,1,1,3,3,5,No
4944,Male,23,Language,3.6,No,No,Yes,3,5,3,4,2,1,4,No
4945,Male,17,Life Sciences,1.9,No,No,Yes,4,3,1,2,1,3,2,No
4946,Female,23,History,2.36,Yes,No,Yes,4,5,1,4,4,3,1,Yes
4947,Female,19,Business,3.2,No,No,Yes,5,3,3,5,4,5,4,No
4948,Female,18,Life Sciences,3.14,Yes,Yes,No,3,1,3,4,5,2,2,No
4949,Male,22,Social Sciences,2.35,No,Yes,Yes,4,2,2,5,3,4,5,Yes
4950,Female,22,Information Systems,2.45,No,Yes,No,3,4,2,5,5,4,3,No
4951,Male,21,Life Sciences,2.96,No,No,Yes,5,1,3,5,5,5,4,No
4952,Female,18,Life Sciences,2.09,No,Yes,Yes,2,1,1,4,2,4,5,No
4953,Male,23,Life Sciences,2.68,No,Yes,No,4,5,1,4,5,4,1,Yes
4954,Female,20,Social Sciences,2.32,No,Yes,Yes,2,3,3,3,5,5,4,No
4955,Female,18,Communications,3.72,Yes,Yes,No,4,1,1,3,5,3,5,No
4956,Female,22,Communications,1.86,No,No,Yes,1,2,4,4,4,1,3,No
4957,Male,23,Life Sciences,3.26,No,Yes,No,5,1,5,3,3,4,5,No
4958,Male,22,Engineering,2.24,No,No,Yes,3,5,2,1,4,4,2,Yes
4959,Male,17,Arts,2.41,Yes,Yes,Yes,2,1,5,4,2,2,1,No
4960,Female,20,Business,2.37,Yes,Yes,Yes,4,2,1,3,2,1,4,No
4961,Male,19,Social Sciences,3.17,No,Yes,,5,5,4,2,1,1,5,No
4962,Male,22,Communications,2.8,Yes,No,Yes,2,3,3,4,2,4,3,Yes
4963,Female,18,Communications,2.39,No,Yes,Yes,2,1,2,1,3,3,3,No
4964,Female,21,Social Sciences,2.96,No,Yes,Yes,4,3,3,5,4,4,4,Yes
4965,Male,22,Social Sciences,3.96,No,Yes,Yes,3,2,2,3,5,2,3,Yes
4966,Male,22,History,1.98,,Yes,Yes,2,3,3,1,4,2,4,Yes
4967,Female,20,Social Sciences,2.02,Yes,No,Yes,1,4,3,2,5,1,2,No
4968,Male,19,Arts,2.33,No,Yes,Yes,5,4,2,4,1,4,2,Yes
4969,Male,17,Business,3.62,No,Yes,No,1,4,5,1,5,5,5,No
4970,Female,19,Arts,3.54,No,No,No,3,3,2,3,1,4,3,Yes
4971,Female,20,Social Sciences,3.07,No,Yes,Yes,2,5,1,2,1,5,4,No
4972,Male,19,Life Sciences,2.58,Yes,Yes,Yes,3,1,3,4,3,1,3,Yes
4973,Agender,19,Life Sciences,2.84,No,Yes,Yes,4,5,1,5,3,1,3,Yes
4974,Female,18,Business,2.68,Yes,Yes,Yes,4,2,3,2,3,2,1,Yes
4975,Female,21,Communications,3.84,No,Yes,Yes,2,3,2,2,1,1,2,No
4976,Female,17,Social Sciences,2.35,No,Yes,Yes,2,1,1,2,3,4,3,Yes
4977,Female,17,Business,3.22,No,Yes,Yes,4,5,4,2,1,4,4,No
4978,Female,22,Arts,3.03,No,Yes,No,2,2,3,4,2,1,1,Yes
4979,Female,19,Social Sciences,3.73,No,Yes,Yes,5,3,1,4,1,1,1,Yes
4980,Male,21,Information Systems,2.46,No,Yes,Yes,3,4,1,4,4,1,1,No
4981,Male,22,Life Sciences,2.16,No,No,Yes,1,4,4,5,4,4,1,No
4982,Male,19,Social Sciences,2.34,No,Yes,Yes,1,5,3,2,3,3,5,No
4983,Female,20,Business,2.17,No,No,Yes,3,2,1,3,2,2,3,No
4984,Female,22,Information Systems,2.92,Yes,Yes,Yes,4,1,4,2,3,5,5,No
4985,Male,23,History,2.75,No,Yes,No,2,4,1,2,1,2,1,No
4986,Male,21,Social Sciences,2.24,Yes,No,Yes,4,4,1,5,2,3,2,No
4987,Female,22,Arts,3.68,Yes,Yes,No,3,1,5,3,1,5,1,No
4988,Male,21,Business,3.5,No,Yes,Yes,4,3,2,1,2,4,3,No
4989,Female,19,Social Sciences,3.52,No,Yes,Yes,4,3,5,1,2,3,5,Yes
4990,Polygender,22,Social Sciences,1.96,No,Yes,Yes,3,5,3,3,3,1,2,No
4991,Male,18,Business,2.26,Yes,No,Yes,1,3,4,4,4,4,1,Yes
4992,Male,17,Communications,2.65,No,Yes,,5,5,5,1,4,3,4,No
4993,Male,21,Language,1.87,No,Yes,Yes,5,5,3,1,5,5,5,No
4994,Female,17,Social Sciences,2.41,,Yes,Yes,4,1,1,4,5,3,3,No
4995,Genderfluid,18,Social Sciences,3.45,No,No,Yes,5,3,4,3,3,3,3,No
4996,Male,22,Social Sciences,2.79,No,Yes,No,3,5,5,4,1,4,5,No
4997,Male,17,Life Sciences,1.98,Yes,Yes,Yes,4,4,5,1,4,2,1,No
4998,Female,21,Arts,2.68,No,No,Yes,4,2,2,3,1,3,4,No
4999,Male,19,History,2.81,No,,No,,,,,,,,
5000,Female,19,Information Systems,2.33,Yes,Yes,Yes,3,5,3,3,5,5,1,No
5001,Female,23,Arts,2.92,Yes,No,,4,4,2,4,2,1,4,Yes
5002,Bigender,19,Business,2.59,No,Yes,Yes,1,4,1,1,4,1,1,No
5003,Polygender,20,History,1.93,No,Yes,No,2,1,1,2,5,4,3,No
5004,Male,22,Life Sciences,1.83,No,,No,,,,,,,,
5005,Male,20,Life Sciences,2.69,No,Yes,No,5,4,1,4,4,3,1,Yes
5006,Male,19,Social Sciences,2.77,No,Yes,Yes,4,4,1,2,5,3,1,No
5007,Female,23,Life Sciences,3,Yes,No,Yes,1,4,1,1,2,1,1,No
5008,Male,19,Social Sciences,3.5,No,Yes,Yes,4,2,4,5,5,1,1,Yes
5009,Female,17,Life Sciences,2.01,No,Yes,Yes,5,4,1,1,3,4,1,No
5010,Male,17,Communications,3.74,No,,Yes,,,,,,,,
5011,Female,19,History,3.43,No,Yes,Yes,3,2,4,4,3,4,2,No
5012,Male,22,Life Sciences,3.78,No,No,Yes,1,2,2,1,3,5,2,No
5013,Male,23,Business,2.16,No,No,Yes,4,3,1,4,4,5,3,No
5014,Male,23,Social Sciences,3.68,No,Yes,Yes,4,1,1,1,2,5,5,Yes
5015,Male,17,Business,2.36,No,Yes,Yes,4,1,3,4,2,3,3,No
5016,Male,19,Business,2.6,,Yes,Yes,4,4,4,4,1,2,2,No
5017,Female,22,Communications,3.29,No,Yes,Yes,4,1,3,1,2,2,3,No
5018,Female,18,Communications,2.56,No,No,Yes,5,5,2,5,4,5,5,No
5019,Female,18,Business,3.08,No,No,Yes,5,1,4,2,2,4,5,No
5020,Male,20,Information Systems,3.61,No,Yes,Yes,3,5,4,3,5,5,3,No
5021,Female,19,Social Sciences,2,No,Yes,Yes,4,3,1,1,4,1,3,No
5022,Male,22,Business,2.51,No,Yes,No,3,5,5,4,4,4,4,No
5023,Male,21,Business,3.45,No,Yes,Yes,5,3,3,5,2,2,5,No
5024,Non-binary,23,Social Sciences,2.87,No,No,No,5,5,5,2,4,1,1,No
5025,Female,23,Business,3.64,No,Yes,Yes,4,3,2,5,1,2,3,No
5026,Male,17,Language,2.65,No,Yes,Yes,4,5,2,5,1,4,5,Yes
5027,Male,21,Social Sciences,3.78,No,Yes,Yes,4,5,2,2,5,2,5,No
5028,Male,23,Business,2.52,No,No,Yes,5,4,5,4,2,1,4,No
5029,Female,20,Information Systems,2.38,Yes,Yes,Yes,4,4,3,5,4,5,2,No
5030,Female,19,Business,2.44,No,,Yes,,,,,,,,
5031,Male,22,Business,2.74,,Yes,Yes,4,3,1,4,4,2,3,No
5032,Male,18,Information Systems,2.93,No,Yes,Yes,3,4,3,3,5,1,4,Yes
5033,Male,21,History,2.07,,Yes,Yes,3,3,2,4,2,5,1,No
5034,Female,23,History,3.97,Yes,Yes,No,5,5,1,1,5,3,1,No
5035,Female,22,History,3.26,No,No,Yes,4,2,4,1,5,3,2,Yes
5036,Non-binary,23,Communications,2.15,No,Yes,Yes,3,5,4,2,4,4,1,Yes
5037,Female,20,Business,1.91,No,Yes,Yes,2,3,5,3,4,3,1,No
5038,Female,20,Business,1.8,No,Yes,Yes,5,5,2,5,1,1,5,No
5039,Male,17,Communications,3.09,No,Yes,No,2,1,4,3,4,3,1,Yes
5040,Female,17,Social Sciences,3.54,No,Yes,Yes,5,2,2,3,2,1,4,No
5041,Female,22,Information Systems,3.86,No,Yes,Yes,3,5,3,5,4,5,4,Yes
5042,Male,17,History,2.9,Yes,Yes,Yes,3,4,4,3,3,5,1,No
5043,Female,21,Life Sciences,3.85,No,Yes,No,5,5,1,3,1,5,1,Yes
5044,Male,23,Arts,2.65,No,No,Yes,4,3,2,2,5,4,3,No
5045,Female,23,Communications,3.01,No,Yes,Yes,3,1,2,1,4,4,2,No
5046,Female,21,Communications,1.88,Yes,Yes,No,4,1,5,5,1,5,5,No
5047,Female,18,Social Sciences,2.16,No,Yes,Yes,3,1,2,5,1,5,2,No
5048,Male,17,Social Sciences,2.35,No,No,Yes,4,5,5,3,3,1,5,No
5049,Male,20,Social Sciences,3.53,No,No,No,4,2,4,1,3,3,5,No
5050,Female,18,Information Systems,2.05,No,Yes,No,3,2,4,1,5,5,1,Yes
5051,Female,21,Business,1.99,No,Yes,Yes,5,2,5,1,4,2,4,No
5052,Male,23,Information Systems,2.62,No,Yes,No,2,1,5,2,4,3,1,No
5053,Male,23,Life Sciences,3.07,No,No,No,4,2,3,4,4,3,5,Yes
5054,Male,22,Social Sciences,3.66,Yes,No,Yes,5,1,4,4,4,2,5,No
5055,Female,23,Arts,3.53,Yes,No,No,2,4,3,4,5,3,5,No
5056,Female,18,Social Sciences,2.63,No,Yes,No,4,2,3,1,3,1,2,No
5057,Female,22,Business,3.83,No,Yes,Yes,1,2,4,5,1,1,4,Yes
5058,Male,19,Business,3.72,Yes,No,Yes,5,1,5,1,5,5,1,No
5059,Male,18,Life Sciences,3.68,Yes,No,No,3,2,5,5,2,4,4,No
5060,Male,21,Business,2.43,No,No,No,5,1,2,3,1,4,5,No
5061,Polygender,23,History,2.33,Yes,Yes,Yes,5,1,5,4,2,2,5,No
5062,Male,19,Communications,3.94,No,Yes,Yes,4,2,4,3,5,5,3,No
5063,Male,21,History,3.54,No,Yes,Yes,4,5,1,5,3,5,2,No
5064,Male,23,Social Sciences,3.73,No,Yes,Yes,4,5,1,1,3,3,2,No
5065,Female,20,Social Sciences,2.32,No,Yes,Yes,2,3,4,4,5,1,4,No
5066,Female,20,Social Sciences,3.49,No,Yes,Yes,5,5,3,3,1,3,5,No
5067,Female,20,Language,3.37,No,Yes,Yes,2,2,3,3,3,2,5,Yes
5068,Female,19,Communications,2.62,No,Yes,No,5,1,2,3,5,2,5,No
5069,Male,23,Business,2.74,No,,No,,,,,,,,
5070,Male,20,Information Systems,3.45,No,Yes,Yes,4,3,5,5,1,4,2,No
5071,Female,20,Life Sciences,1.95,No,No,Yes,4,2,1,1,1,5,4,No
5072,Polygender,19,Business,3.49,No,Yes,Yes,5,1,1,1,3,5,5,No
5073,Male,18,Social Sciences,2.46,Yes,Yes,Yes,5,1,1,3,5,1,4,No
5074,Male,21,Social Sciences,2.48,No,Yes,No,4,2,3,1,2,1,2,Yes
5075,Male,23,Arts,3.68,Yes,No,Yes,1,4,5,4,5,5,2,No
5076,Male,17,Language,3.22,No,No,Yes,5,2,1,3,1,4,1,No
5077,Female,22,Information Systems,1.83,No,Yes,Yes,5,2,4,2,4,5,4,No
5078,Male,23,Life Sciences,1.94,Yes,Yes,,4,4,4,5,2,3,4,Yes
5079,Male,17,Social Sciences,3.88,Yes,No,Yes,4,4,4,3,5,1,3,Yes
5080,Female,21,Arts,3.43,No,Yes,No,5,4,5,4,1,5,4,No
5081,Male,20,Engineering,1.88,Yes,Yes,Yes,4,3,2,1,4,2,5,No
5082,Male,20,Life Sciences,3.99,No,Yes,No,4,4,3,4,4,5,5,Yes
5083,Male,19,Business,2.44,No,Yes,No,4,2,1,4,2,3,4,No
5084,Female,23,Social Sciences,1.9,No,Yes,,4,5,2,4,4,3,2,No
5085,Male,17,Language,3.69,Yes,Yes,Yes,2,4,5,1,3,2,4,Yes
5086,Male,21,Arts,2.39,Yes,Yes,No,4,2,2,3,1,1,5,No
5087,Male,21,Social Sciences,3.91,No,Yes,Yes,1,2,4,1,3,2,3,No
5088,Female,20,Language,3.91,,Yes,No,4,2,2,4,5,2,3,No
5089,Male,21,Communications,2.24,No,Yes,Yes,4,3,2,5,5,1,1,No
5090,Female,20,Engineering,1.96,No,Yes,No,5,1,5,1,5,5,4,No
5091,Female,21,Life Sciences,2.96,No,Yes,,4,2,3,2,2,5,3,Yes
5092,Male,18,History,2.92,,Yes,Yes,1,1,1,1,3,1,2,No
5093,Male,22,Social Sciences,2.14,No,Yes,Yes,3,1,3,3,5,3,1,No
5094,Male,23,Arts,2.41,Yes,No,Yes,5,3,4,2,2,3,3,No
5095,Female,22,Communications,3.78,No,Yes,No,4,4,1,4,5,3,1,No
5096,Genderqueer,21,Engineering,3.7,No,Yes,Yes,5,5,2,3,1,3,2,Yes
5097,Male,19,Information Systems,3.4,No,Yes,Yes,1,1,4,2,3,4,2,No
5098,Female,20,Business,2.32,No,No,Yes,5,3,1,3,4,3,2,No
5099,Male,20,Life Sciences,2.51,No,Yes,Yes,5,2,3,4,3,3,5,Yes
5100,Female,22,Language,3.63,Yes,Yes,Yes,5,2,1,1,3,5,4,Yes
5101,Male,21,Arts,1.8,Yes,Yes,Yes,5,3,4,1,3,1,5,No
5102,Male,19,History,3.38,No,No,Yes,5,2,5,2,5,4,4,Yes
5103,Male,22,Information Systems,2.08,No,Yes,No,2,2,1,3,1,2,5,No
5104,Female,17,Information Systems,1.81,No,Yes,Yes,5,5,1,5,2,5,2,Yes
5105,Male,22,History,1.84,No,Yes,Yes,3,4,1,3,5,3,4,No
5106,Female,20,Life Sciences,3.11,Yes,No,Yes,3,1,1,5,2,1,4,No
5107,Male,20,Business,3.3,Yes,Yes,No,4,1,5,1,2,3,2,No
5108,Male,21,Social Sciences,2.13,No,No,Yes,4,4,5,5,3,4,4,No
5109,Male,23,Life Sciences,2.98,Yes,Yes,Yes,5,4,2,1,5,4,3,No
5110,Female,20,Arts,2.32,No,No,No,5,2,1,5,1,4,4,No
5111,Male,20,Information Systems,2.84,No,No,Yes,4,1,2,3,1,4,1,No
5112,Female,19,Social Sciences,3.06,Yes,,Yes,,,,,,,,
5113,Female,18,History,3.92,No,No,Yes,4,5,5,4,1,3,2,No
5114,Male,22,Language,3.92,No,Yes,,5,5,4,4,5,1,2,No
5115,Male,23,Arts,3.22,No,Yes,Yes,4,1,1,3,3,2,5,No
5116,Male,18,Social Sciences,3.3,No,Yes,Yes,5,3,4,4,4,5,3,No
5117,Female,19,Arts,2.47,No,Yes,Yes,4,3,3,3,4,3,1,Yes
5118,Female,23,Communications,3.61,No,Yes,Yes,2,5,5,1,3,1,3,No
5119,Female,20,Business,2.32,No,Yes,Yes,4,3,2,3,5,3,5,No
5120,Female,19,Life Sciences,3.9,No,Yes,No,5,4,2,1,2,1,3,Yes
5121,Male,20,Social Sciences,3.94,No,Yes,Yes,1,2,3,4,2,4,1,No
5122,Male,22,Life Sciences,2.97,No,No,No,5,1,5,2,5,2,1,No
5123,Male,18,Language,3.46,Yes,Yes,No,4,5,4,4,4,1,5,No
5124,Male,20,Arts,2.29,,Yes,No,2,5,3,2,2,2,3,No
5125,Female,22,Life Sciences,3.44,No,Yes,Yes,4,2,4,2,1,2,4,No
5126,Genderqueer,21,Business,2.52,No,Yes,No,3,1,3,5,3,5,5,No
5127,Male,17,Social Sciences,3.59,Yes,No,Yes,5,1,3,4,2,1,3,No
5128,Female,18,Business,2.64,No,Yes,Yes,4,2,5,2,4,1,5,No
5129,Female,20,History,3.78,No,No,No,4,3,2,2,1,5,2,Yes
5130,Male,17,Social Sciences,2.14,No,Yes,Yes,4,3,3,4,5,5,3,No
5131,Male,18,Language,1.89,No,Yes,Yes,3,3,5,2,2,4,1,No
5132,Male,23,History,1.9,No,No,Yes,4,2,5,2,2,4,3,No
5133,Female,23,Communications,3.14,No,Yes,Yes,4,3,5,1,1,2,4,Yes
5134,Genderqueer,22,Business,3.23,Yes,Yes,Yes,4,1,5,5,5,3,4,No
5135,Male,22,Business,2.17,No,Yes,No,5,4,1,3,3,4,1,No
5136,Male,21,Information Systems,3.96,No,Yes,No,2,2,3,1,4,1,4,No
5137,Male,20,Communications,1.88,No,Yes,Yes,1,3,4,5,2,1,1,No
5138,Polygender,21,Social Sciences,3.62,No,Yes,Yes,5,3,5,2,3,3,2,Yes
5139,Male,20,Life Sciences,3.29,Yes,No,No,1,5,2,1,3,1,4,Yes
5140,Male,20,Communications,3.85,No,Yes,Yes,3,1,4,3,5,5,4,Yes
5141,Male,17,Information Systems,2.24,,No,Yes,4,3,4,1,4,2,5,No
5142,Male,21,Information Systems,2.83,No,No,Yes,4,5,4,4,4,5,1,No
5143,Female,21,Social Sciences,2.79,No,Yes,Yes,4,3,5,3,5,5,5,Yes
5144,Female,21,Information Systems,3.02,Yes,No,Yes,4,2,4,1,5,5,1,Yes
5145,Male,21,Business,3.73,No,No,Yes,1,5,5,2,3,5,2,No
5146,Female,23,Arts,3.42,No,Yes,Yes,3,3,5,3,1,3,2,No
5147,Male,23,Business,3.76,Yes,Yes,Yes,4,1,5,3,2,3,1,No
5148,Male,23,Engineering,3.03,No,Yes,Yes,4,4,1,3,1,5,3,Yes
5149,Male,20,Arts,3.86,Yes,No,Yes,5,3,4,5,5,4,3,No
5150,Genderqueer,22,Language,3.1,No,Yes,No,4,4,2,4,4,2,5,Yes
5151,Male,18,Arts,3.37,No,No,Yes,4,2,5,2,2,2,5,No
5152,Male,22,Communications,3.72,Yes,Yes,No,4,1,1,4,2,1,4,No
5153,Bigender,17,Arts,2.87,No,Yes,Yes,4,4,3,5,1,2,1,No
5154,Male,23,Social Sciences,2.93,No,Yes,Yes,4,4,1,3,3,3,2,Yes
5155,Male,17,Language,3.05,Yes,Yes,,2,5,3,1,5,1,5,No
5156,Agender,20,History,3.65,No,Yes,Yes,5,5,2,1,5,4,5,Yes
5157,Female,19,Social Sciences,3.79,No,No,Yes,4,3,5,5,1,3,2,No
5158,Male,21,Business,3.26,Yes,,No,,,,,,,,
5159,Genderfluid,22,Arts,2.21,No,Yes,Yes,2,2,5,3,4,4,4,Yes
5160,Female,18,Social Sciences,2.09,No,Yes,Yes,5,3,2,2,5,5,1,No
5161,Female,17,Communications,2.75,Yes,Yes,Yes,4,3,1,2,3,4,2,No
5162,Female,21,Social Sciences,2.43,No,Yes,Yes,3,4,3,3,2,4,4,Yes
5163,Male,23,History,2.61,Yes,Yes,Yes,4,3,1,2,3,5,5,No
5164,Female,20,Life Sciences,3.56,No,No,Yes,5,2,3,1,4,4,5,No
5165,Female,20,Business,2.59,No,Yes,Yes,5,4,3,1,4,2,5,Yes
5166,Female,23,Social Sciences,3.61,No,Yes,No,4,1,1,5,3,5,4,No
